Parsed: dat: exchange_rate
Parsed: 2010-08-2: 0.07
Parsed: 2010-08-2: 0.07
Parsed: 2010-08-2: 0.07
Parsed: 2010-08-2: 0.06
Parsed: 2010-09-0: 0.06
Parsed: 2010-09-0: 0.06
Parsed: 2010-09-0: 0.06
Parsed: 2010-09-1: 0.06
Parsed: 2010-09-1: 0.06
Parsed: 2010-09-1: 0.15
Parsed: 2010-09-1: 0.06
Parsed: 2010-09-2: 0.06
Parsed: 2010-09-2: 0.06
Parsed: 2010-09-2: 0.06
Parsed: 2010-10-0: 0.06
Parsed: 2010-10-0: 0.06
Parsed: 2010-10-0: 0.06
Parsed: 2010-10-1: 0.12
Parsed: 2010-10-1: 0.1
Parsed: 2010-10-1: 0.12
Parsed: 2010-10-1: 0.1
Parsed: 2010-10-2: 0.11
Parsed: 2010-10-2: 0.18
Parsed: 2010-10-2: 0.19
Parsed: 2010-10-3: 0.19
Parsed: 2010-11-0: 0.21
Parsed: 2010-11-0: 0.25
Parsed: 2010-11-0: 0.36
Parsed: 2010-11-1: 0.24
Parsed: 2010-11-1: 0.3
Parsed: 2010-11-1: 0.28
Parsed: 2010-11-2: 0.29
Parsed: 2010-11-2: 0.29
Parsed: 2010-11-2: 0.29
Parsed: 2010-11-2: 0.28
Parsed: 2010-12-0: 0.25
Parsed: 2010-12-0: 0.23
Parsed: 2010-12-0: 0.25
Parsed: 2010-12-1: 0.23
Parsed: 2010-12-1: 0.23
Parsed: 2010-12-1: 0.25
Parsed: 2010-12-2: 0.27
Parsed: 2010-12-2: 0.25
Parsed: 2010-12-2: 0.27
Parsed: 2010-12-2: 0.3
Parsed: 2011-01-0: 0.3
Parsed: 2011-01-0: 0.3
Parsed: 2011-01-0: 0.32
Parsed: 2011-01-1: 0.33
Parsed: 2011-01-1: 0.42
Parsed: 2011-01-1: 0.4
Parsed: 2011-01-1: 0.35
Parsed: 2011-01-2: 0.43
Parsed: 2011-01-2: 0.43
Parsed: 2011-01-2: 0.45
Parsed: 2011-01-3: 0.61
Parsed: 2011-02-0: 0.78
Parsed: 2011-02-0: 0.92
Parsed: 2011-02-0: 0.97
Parsed: 2011-02-1: 1.09
Parsed: 2011-02-1: 1.08
Parsed: 2011-02-1: 1.04
Parsed: 2011-02-2: 0.88
Parsed: 2011-02-2: 0.96
Parsed: 2011-02-2: 0.96
Parsed: 2011-03-0: 0.95
Parsed: 2011-03-0: 0.92
Parsed: 2011-03-0: 0.9
Parsed: 2011-03-1: 0.93
Parsed: 2011-03-1: 0.9
Parsed: 2011-03-1: 0.87
Parsed: 2011-03-2: 0.79
Parsed: 2011-03-2: 0.86
Parsed: 2011-03-2: 0.9
Parsed: 2011-03-3: 0.8
Parsed: 2011-04-0: 0.8
Parsed: 2011-04-0: 0.77
Parsed: 2011-04-0: 0.78
Parsed: 2011-04-1: 0.76
Parsed: 2011-04-1: 0.99
Parsed: 2011-04-1: 1.09
Parsed: 2011-04-2: 1.19
Parsed: 2011-04-2: 1.38
Parsed: 2011-04-2: 1.71
Parsed: 2011-04-2: 2.66
Parsed: 2011-05-0: 3.95
Parsed: 2011-05-0: 3.56
Parsed: 2011-05-0: 3.75
Parsed: 2011-05-1: 5.41
Parsed: 2011-05-1: 8.56
Parsed: 2011-05-1: 8.47
Parsed: 2011-05-2: 7.28
Parsed: 2011-05-2: 6.81
Parsed: 2011-05-2: 7.95
Parsed: 2011-05-2: 8.68
Parsed: 2011-06-0: 9.47
Parsed: 2011-06-0: 15.05
Parsed: 2011-06-0: 19.19
Parsed: 2011-06-1: 32.34
Parsed: 2011-06-1: 24.87
Parsed: 2011-06-1: 19.99
Parsed: 2011-06-1: 17.6
Parsed: 2011-06-2: 15.39
Parsed: 2011-06-2: 16.95
Parsed: 2011-06-2: 17.89
Parsed: 2011-07-0: 17.38
Parsed: 2011-07-0: 15.74
Parsed: 2011-07-0: 16.44
Parsed: 2011-07-1: 15.16
Parsed: 2011-07-1: 14.52
Parsed: 2011-07-1: 14.25
Parsed: 2011-07-1: 13.93
Parsed: 2011-07-2: 13.94
Parsed: 2011-07-2: 14.16
Parsed: 2011-07-2: 14.1
Parsed: 2011-07-3: 14.06
Parsed: 2011-08-0: 13.37
Parsed: 2011-08-0: 11.42
Parsed: 2011-08-0: 9.66
Parsed: 2011-08-1: 10.35
Parsed: 2011-08-1: 11.4
Parsed: 2011-08-1: 11.39
Parsed: 2011-08-2: 11.75
Parsed: 2011-08-2: 11.47
Parsed: 2011-08-2: 10.01
Parsed: 2011-08-3: 9.4
Parsed: 2011-09-0: 8.46
Parsed: 2011-09-0: 8.56
Parsed: 2011-09-0: 7.53
Parsed: 2011-09-1: 6.49
Parsed: 2011-09-1: 6.19
Parsed: 2011-09-1: 5.18
Parsed: 2011-09-2: 5.89
Parsed: 2011-09-2: 5.8
Parsed: 2011-09-2: 5.49
Parsed: 2011-09-2: 4.95
Parsed: 2011-10-0: 5.27
Parsed: 2011-10-0: 5.03
Parsed: 2011-10-0: 4.79
Parsed: 2011-10-1: 4.23
Parsed: 2011-10-1: 4.37
Parsed: 2011-10-1: 3.87
Parsed: 2011-10-2: 2.59
Parsed: 2011-10-2: 3.31
Parsed: 2011-10-2: 3
Parsed: 2011-10-2: 3.39
Parsed: 2011-10-3: 3.38
Parsed: 2011-11-0: 3.28
Parsed: 2011-11-0: 3.04
Parsed: 2011-11-0: 3.09
Parsed: 2011-11-1: 3.11
Parsed: 2011-11-1: 2.67
Parsed: 2011-11-1: 2.37
Parsed: 2011-11-2: 2.3
Parsed: 2011-11-2: 2.48
Parsed: 2011-11-2: 2.51
Parsed: 2011-11-3: 3
Parsed: 2011-12-0: 3.1
Parsed: 2011-12-0: 3.06
Parsed: 2011-12-0: 3.04
Parsed: 2011-12-1: 3.33
Parsed: 2011-12-1: 3.2
Parsed: 2011-12-1: 3.36
Parsed: 2011-12-2: 4.08
Parsed: 2011-12-2: 4.06
Parsed: 2011-12-2: 4.09
Parsed: 2011-12-3: 4.47
Parsed: 2012-01-0: 5.45
Parsed: 2012-01-0: 6.6
Parsed: 2012-01-0: 7.2
Parsed: 2012-01-1: 7.1
Parsed: 2012-01-1: 6.81
Parsed: 2012-01-1: 6.97
Parsed: 2012-01-2: 6.57
Parsed: 2012-01-2: 6.47
Parsed: 2012-01-2: 6.08
Parsed: 2012-01-2: 5.72
Parsed: 2012-02-0: 5.77
Parsed: 2012-02-0: 5.99
Parsed: 2012-02-0: 5.74
Parsed: 2012-02-1: 5.94
Parsed: 2012-02-1: 5.69
Parsed: 2012-02-1: 4.74
Parsed: 2012-02-1: 4.38
Parsed: 2012-02-2: 4.63
Parsed: 2012-02-2: 5.05
Parsed: 2012-02-2: 4.98
Parsed: 2012-03-0: 4.94
Parsed: 2012-03-0: 5.04
Parsed: 2012-03-0: 4.99
Parsed: 2012-03-1: 4.98
Parsed: 2012-03-1: 5.45
Parsed: 2012-03-1: 5.4
Parsed: 2012-03-2: 4.95
Parsed: 2012-03-2: 4.81
Parsed: 2012-03-2: 4.74
Parsed: 2012-03-3: 4.85
Parsed: 2012-04-0: 4.97
Parsed: 2012-04-0: 4.96
Parsed: 2012-04-0: 4.94
Parsed: 2012-04-1: 4.9
Parsed: 2012-04-1: 4.97
Parsed: 2012-04-1: 4.99
Parsed: 2012-04-2: 5.19
Parsed: 2012-04-2: 5.3
Parsed: 2012-04-2: 5.16
Parsed: 2012-04-2: 5.09
Parsed: 2012-05-0: 5.04
Parsed: 2012-05-0: 5.15
Parsed: 2012-05-0: 5.1
Parsed: 2012-05-1: 5.1
Parsed: 2012-05-1: 5.01
Parsed: 2012-05-1: 5.1
Parsed: 2012-05-2: 5.14
Parsed: 2012-05-2: 5.13
Parsed: 2012-05-2: 5.15
Parsed: 2012-05-2: 5.16
Parsed: 2012-06-0: 5.21
Parsed: 2012-06-0: 5.27
Parsed: 2012-06-0: 5.48
Parsed: 2012-06-1: 5.68
Parsed: 2012-06-1: 5.76
Parsed: 2012-06-1: 6.27
Parsed: 2012-06-1: 6.48
Parsed: 2012-06-2: 6.8
Parsed: 2012-06-2: 6.56
Parsed: 2012-06-2: 6.58
Parsed: 2012-07-0: 6.69
Parsed: 2012-07-0: 6.71
Parsed: 2012-07-0: 6.74
Parsed: 2012-07-1: 6.98
Parsed: 2012-07-1: 7.46
Parsed: 2012-07-1: 7.8
Parsed: 2012-07-1: 9.37
Parsed: 2012-07-2: 9.53
Parsed: 2012-07-2: 8.91
Parsed: 2012-07-2: 8.95
Parsed: 2012-07-3: 9.22
Parsed: 2012-08-0: 10.12
Parsed: 2012-08-0: 11.21
Parsed: 2012-08-0: 11.35
Parsed: 2012-08-1: 11.64
Parsed: 2012-08-1: 12.3
Parsed: 2012-08-1: 15.37
Parsed: 2012-08-2: 10.45
Parsed: 2012-08-2: 10.25
Parsed: 2012-08-2: 10.99
Parsed: 2012-08-3: 11.14
Parsed: 2012-09-0: 10.36
Parsed: 2012-09-0: 10.59
Parsed: 2012-09-0: 11.27
Parsed: 2012-09-1: 11.14
Parsed: 2012-09-1: 11.48
Parsed: 2012-09-1: 11.98
Parsed: 2012-09-2: 12.63
Parsed: 2012-09-2: 12.4
Parsed: 2012-09-2: 12.24
Parsed: 2012-09-2: 12.46
Parsed: 2012-10-0: 12.58
Parsed: 2012-10-0: 13.07
Parsed: 2012-10-0: 12.58
Parsed: 2012-10-1: 12.16
Parsed: 2012-10-1: 12.1
Parsed: 2012-10-1: 11.99
Parsed: 2012-10-2: 11.94
Parsed: 2012-10-2: 11.86
Parsed: 2012-10-2: 11.56
Parsed: 2012-10-2: 10.69
Parsed: 2012-10-3: 11.17
Parsed: 2012-11-0: 10.62
Parsed: 2012-11-0: 10.97
Parsed: 2012-11-0: 11.04
Parsed: 2012-11-1: 11.17
Parsed: 2012-11-1: 11.28
Parsed: 2012-11-1: 11.82
Parsed: 2012-11-2: 11.9
Parsed: 2012-11-2: 12.46
Parsed: 2012-11-2: 12.5
Parsed: 2012-11-3: 12.66
Parsed: 2012-12-0: 12.75
Parsed: 2012-12-0: 13.69
Parsed: 2012-12-0: 13.53
Parsed: 2012-12-1: 13.8
Parsed: 2012-12-1: 13.75
Parsed: 2012-12-1: 13.4
Parsed: 2012-12-2: 13.63
Parsed: 2012-12-2: 13.45
Parsed: 2012-12-2: 13.51
Parsed: 2012-12-3: 13.57
Parsed: 2013-01-0: 13.42
Parsed: 2013-01-0: 13.54
Parsed: 2013-01-0: 13.84
Parsed: 2013-01-1: 14.31
Parsed: 2013-01-1: 14.34
Parsed: 2013-01-1: 15.53
Parsed: 2013-01-2: 16.15
Parsed: 2013-01-2: 17.97
Parsed: 2013-01-2: 17.71
Parsed: 2013-01-2: 19.78
Parsed: 2013-02-0: 21.25
Parsed: 2013-02-0: 20.99
Parsed: 2013-02-0: 22.15
Parsed: 2013-02-1: 23.97
Parsed: 2013-02-1: 24.3
Parsed: 2013-02-1: 27.39
Parsed: 2013-02-1: 29.48
Parsed: 2013-02-2: 30.52
Parsed: 2013-02-2: 30.4
Parsed: 2013-02-2: 33.36
Parsed: 2013-03-0: 34.25
Parsed: 2013-03-0: 42
Parsed: 2013-03-0: 46.93
Parsed: 2013-03-1: 44.32
Parsed: 2013-03-1: 46.9
Parsed: 2013-03-1: 52.12
Parsed: 2013-03-2: 70.25
Parsed: 2013-03-2: 71.93
Parsed: 2013-03-2: 88.8
Parsed: 2013-03-3: 92.5
Parsed: 2013-04-0: 117.34
Parsed: 2013-04-0: 142.1
Parsed: 2013-04-0: 186.96
Parsed: 2013-04-1: 124.9
Parsed: 2013-04-1: 100
Parsed: 2013-04-1: 93.9
Parsed: 2013-04-2: 127.5
Parsed: 2013-04-2: 142.5
Parsed: 2013-04-2: 137
Parsed: 2013-04-3: 144.54
Parsed: 2013-05-0: 103.3
Parsed: 2013-05-0: 115.98
Parsed: 2013-05-0: 113.35
Parsed: 2013-05-1: 115.68
Parsed: 2013-05-1: 112
Parsed: 2013-05-1: 123.32
Parsed: 2013-05-2: 122.02
Parsed: 2013-05-2: 126.7
Parsed: 2013-05-2: 133.5
Parsed: 2013-05-3: 132.3
Parsed: 2013-06-0: 129.3
Parsed: 2013-06-0: 121.42
Parsed: 2013-06-0: 111.5
Parsed: 2013-06-1: 106.1
Parsed: 2013-06-1: 103.9
Parsed: 2013-06-1: 99.9
Parsed: 2013-06-2: 107.68
Parsed: 2013-06-2: 108.35
Parsed: 2013-06-2: 103.89
Parsed: 2013-06-2: 94.65
Parsed: 2013-07-0: 87
Parsed: 2013-07-0: 80.04
Parsed: 2013-07-0: 75
Parsed: 2013-07-1: 87.9
Parsed: 2013-07-1: 98
Parsed: 2013-07-1: 97.05
Parsed: 2013-07-2: 92
Parsed: 2013-07-2: 91.99
Parsed: 2013-07-2: 97
Parsed: 2013-07-2: 98.7
Parsed: 2013-08-0: 106.2
Parsed: 2013-08-0: 104.95
Parsed: 2013-08-0: 106.56
Parsed: 2013-08-1: 102.8
Parsed: 2013-08-1: 106.64
Parsed: 2013-08-1: 98.08
Parsed: 2013-08-1: 99.3
Parsed: 2013-08-2: 110.43
Parsed: 2013-08-2: 109.04
Parsed: 2013-08-2: 117.72
Parsed: 2013-08-3: 124.84
Parsed: 2013-09-0: 130.09
Parsed: 2013-09-0: 122.63
Parsed: 2013-09-0: 118.18
Parsed: 2013-09-1: 126.54
Parsed: 2013-09-1: 124.05
Parsed: 2013-09-1: 139.15
Parsed: 2013-09-2: 123.04
Parsed: 2013-09-2: 122.65
Parsed: 2013-09-2: 124.65
Parsed: 2013-09-3: 127.01
Parsed: 2013-10-0: 103.85
Parsed: 2013-10-0: 121.2
Parsed: 2013-10-0: 124.12
Parsed: 2013-10-1: 127.41
Parsed: 2013-10-1: 135.17
Parsed: 2013-10-1: 143.94
Parsed: 2013-10-2: 186.12
Parsed: 2013-10-2: 203.7
Parsed: 2013-10-2: 179.56
Parsed: 2013-10-2: 216
Parsed: 2013-11-0: 203
Parsed: 2013-11-0: 229.95
